fID,pfID,filePath,pointedFilePath
/sys/class/ata_link/link17,/sys/devices/pci0000:00/0000:00:05.0/ata17/link17/ata_link/link17,/sys/class/ata_link/link17,/sys/devices/pci0000:00/0000:00:05.0/ata17/link17/ata_link/link17
/sys/class/ata_link/link9,/sys/devices/pci0000:00/0000:00:04.0/ata9/link9/ata_link/link9,/sys/class/ata_link/link9,/sys/devices/pci0000:00/0000:00:04.0/ata9/link9/ata_link/link9
/sys/class/ata_link/link15,/sys/devices/pci0000:00/0000:00:05.0/ata15/link15/ata_link/link15,/sys/class/ata_link/link15,/sys/devices/pci0000:00/0000:00:05.0/ata15/link15/ata_link/link15
/sys/class/ata_link/link7,/sys/devices/pci0000:00/0000:00:04.0/ata7/link7/ata_link/link7,/sys/class/ata_link/link7,/sys/devices/pci0000:00/0000:00:04.0/ata7/link7/ata_link/link7
/sys/class/ata_link/link23,/sys/devices/pci0000:00/0000:00:06.0/ata23/link23/ata_link/link23,/sys/class/ata_link/link23,/sys/devices/pci0000:00/0000:00:06.0/ata23/link23/ata_link/link23
/sys/class/ata_link/link13,/sys/devices/pci0000:00/0000:00:05.0/ata13/link13/ata_link/link13,/sys/class/ata_link/link13,/sys/devices/pci0000:00/0000:00:05.0/ata13/link13/ata_link/link13
/sys/class/ata_link/link5,/sys/devices/pci0000:00/0000:00:02.0/ata5/link5/ata_link/link5,/sys/class/ata_link/link5,/sys/devices/pci0000:00/0000:00:02.0/ata5/link5/ata_link/link5
/sys/class/ata_link/link21,/sys/devices/pci0000:00/0000:00:06.0/ata21/link21/ata_link/link21,/sys/class/ata_link/link21,/sys/devices/pci0000:00/0000:00:06.0/ata21/link21/ata_link/link21
/sys/class/ata_link/link11,/sys/devices/pci0000:00/0000:00:04.0/ata11/link11/ata_link/link11,/sys/class/ata_link/link11,/sys/devices/pci0000:00/0000:00:04.0/ata11/link11/ata_link/link11
/sys/class/ata_link/link3,/sys/devices/pci0000:00/0000:00:02.0/ata3/link3/ata_link/link3,/sys/class/ata_link/link3,/sys/devices/pci0000:00/0000:00:02.0/ata3/link3/ata_link/link3
/sys/class/ata_device/dev17.0,/sys/devices/pci0000:00/0000:00:05.0/ata17/link17/dev17.0/ata_device/dev17.0,/sys/class/ata_device/dev17.0,/sys/devices/pci0000:00/0000:00:05.0/ata17/link17/dev17.0/ata_device/dev17.0
/sys/class/ata_device/dev6.0,/sys/devices/pci0000:00/0000:00:02.0/ata6/link6/dev6.0/ata_device/dev6.0,/sys/class/ata_device/dev6.0,/sys/devices/pci0000:00/0000:00:02.0/ata6/link6/dev6.0/ata_device/dev6.0
/sys/class/ata_device/dev9.0,/sys/devices/pci0000:00/0000:00:04.0/ata9/link9/dev9.0/ata_device/dev9.0,/sys/class/ata_device/dev9.0,/sys/devices/pci0000:00/0000:00:04.0/ata9/link9/dev9.0/ata_device/dev9.0
/sys/class/ata_device/dev10.0,/sys/devices/pci0000:00/0000:00:04.0/ata10/link10/dev10.0/ata_device/dev10.0,/sys/class/ata_device/dev10.0,/sys/devices/pci0000:00/0000:00:04.0/ata10/link10/dev10.0/ata_device/dev10.0
/sys/class/ata_device/dev22.0,/sys/devices/pci0000:00/0000:00:06.0/ata22/link22/dev22.0/ata_device/dev22.0,/sys/class/ata_device/dev22.0,/sys/devices/pci0000:00/0000:00:06.0/ata22/link22/dev22.0/ata_device/dev22.0
/sys/class/ata_device/dev13.0,/sys/devices/pci0000:00/0000:00:05.0/ata13/link13/dev13.0/ata_device/dev13.0,/sys/class/ata_device/dev13.0,/sys/devices/pci0000:00/0000:00:05.0/ata13/link13/dev13.0/ata_device/dev13.0
/sys/class/ata_device/dev2.0,/sys/devices/pci0000:00/0000:00:02.0/ata2/link2/dev2.0/ata_device/dev2.0,/sys/class/ata_device/dev2.0,/sys/devices/pci0000:00/0000:00:02.0/ata2/link2/dev2.0/ata_device/dev2.0
/sys/class/ata_device/dev16.0,/sys/devices/pci0000:00/0000:00:05.0/ata16/link16/dev16.0/ata_device/dev16.0,/sys/class/ata_device/dev16.0,/sys/devices/pci0000:00/0000:00:05.0/ata16/link16/dev16.0/ata_device/dev16.0
/sys/class/ata_device/dev5.0,/sys/devices/pci0000:00/0000:00:02.0/ata5/link5/dev5.0/ata_device/dev5.0,/sys/class/ata_device/dev5.0,/sys/devices/pci0000:00/0000:00:02.0/ata5/link5/dev5.0/ata_device/dev5.0
/sys/class/ata_device/dev19.0,/sys/devices/pci0000:00/0000:00:06.0/ata19/link19/dev19.0/ata_device/dev19.0,/sys/class/ata_device/dev19.0,/sys/devices/pci0000:00/0000:00:06.0/ata19/link19/dev19.0/ata_device/dev19.0
/sys/class/ata_device/dev8.0,/sys/devices/pci0000:00/0000:00:04.0/ata8/link8/dev8.0/ata_device/dev8.0,/sys/class/ata_device/dev8.0,/sys/devices/pci0000:00/0000:00:04.0/ata8/link8/dev8.0/ata_device/dev8.0
/sys/class/ata_device/dev21.0,/sys/devices/pci0000:00/0000:00:06.0/ata21/link21/dev21.0/ata_device/dev21.0,/sys/class/ata_device/dev21.0,/sys/devices/pci0000:00/0000:00:06.0/ata21/link21/dev21.0/ata_device/dev21.0
/sys/class/ata_device/dev12.0,/sys/devices/pci0000:00/0000:00:04.0/ata12/link12/dev12.0/ata_device/dev12.0,/sys/class/ata_device/dev12.0,/sys/devices/pci0000:00/0000:00:04.0/ata12/link12/dev12.0/ata_device/dev12.0
/sys/class/ata_device/dev1.0,/sys/devices/pci0000:00/0000:00:02.0/ata1/link1/dev1.0/ata_device/dev1.0,/sys/class/ata_device/dev1.0,/sys/devices/pci0000:00/0000:00:02.0/ata1/link1/dev1.0/ata_device/dev1.0
/sys/class/ata_device/dev24.0,/sys/devices/pci0000:00/0000:00:06.0/ata24/link24/dev24.0/ata_device/dev24.0,/sys/class/ata_device/dev24.0,/sys/devices/pci0000:00/0000:00:06.0/ata24/link24/dev24.0/ata_device/dev24.0
/sys/class/ata_device/dev15.0,/sys/devices/pci0000:00/0000:00:05.0/ata15/link15/dev15.0/ata_device/dev15.0,/sys/class/ata_device/dev15.0,/sys/devices/pci0000:00/0000:00:05.0/ata15/link15/dev15.0/ata_device/dev15.0
/sys/class/ata_device/dev4.0,/sys/devices/pci0000:00/0000:00:02.0/ata4/link4/dev4.0/ata_device/dev4.0,/sys/class/ata_device/dev4.0,/sys/devices/pci0000:00/0000:00:02.0/ata4/link4/dev4.0/ata_device/dev4.0
/sys/class/ata_device/dev18.0,/sys/devices/pci0000:00/0000:00:05.0/ata18/link18/dev18.0/ata_device/dev18.0,/sys/class/ata_device/dev18.0,/sys/devices/pci0000:00/0000:00:05.0/ata18/link18/dev18.0/ata_device/dev18.0
/sys/class/ata_device/dev7.0,/sys/devices/pci0000:00/0000:00:04.0/ata7/link7/dev7.0/ata_device/dev7.0,/sys/class/ata_device/dev7.0,/sys/devices/pci0000:00/0000:00:04.0/ata7/link7/dev7.0/ata_device/dev7.0
/sys/class/ata_device/dev20.0,/sys/devices/pci0000:00/0000:00:06.0/ata20/link20/dev20.0/ata_device/dev20.0,/sys/class/ata_device/dev20.0,/sys/devices/pci0000:00/0000:00:06.0/ata20/link20/dev20.0/ata_device/dev20.0
/sys/class/ata_device/dev11.0,/sys/devices/pci0000:00/0000:00:04.0/ata11/link11/dev11.0/ata_device/dev11.0,/sys/class/ata_device/dev11.0,/sys/devices/pci0000:00/0000:00:04.0/ata11/link11/dev11.0/ata_device/dev11.0
/sys/class/ata_device/dev23.0,/sys/devices/pci0000:00/0000:00:06.0/ata23/link23/dev23.0/ata_device/dev23.0,/sys/class/ata_device/dev23.0,/sys/devices/pci0000:00/0000:00:06.0/ata23/link23/dev23.0/ata_device/dev23.0
/sys/class/ata_device/dev14.0,/sys/devices/pci0000:00/0000:00:05.0/ata14/link14/dev14.0/ata_device/dev14.0,/sys/class/ata_device/dev14.0,/sys/devices/pci0000:00/0000:00:05.0/ata14/link14/dev14.0/ata_device/dev14.0
/sys/class/ata_device/dev3.0,/sys/devices/pci0000:00/0000:00:02.0/ata3/link3/dev3.0/ata_device/dev3.0,/sys/class/ata_device/dev3.0,/sys/devices/pci0000:00/0000:00:02.0/ata3/link3/dev3.0/ata_device/dev3.0
/sys/class/net/lo,/sys/devices/virtual/net/lo,/sys/class/net/lo,/sys/devices/virtual/net/lo
/sys/class/net/eth0,/sys/devices/virtual/net/eth0,/sys/class/net/eth0,/sys/devices/virtual/net/eth0
/sys/class/net/tunl0,/sys/devices/virtual/net/tunl0,/sys/class/net/tunl0,/sys/devices/virtual/net/tunl0
/sys/class/net/ip6tnl0,/sys/devices/virtual/net/ip6tnl0,/sys/class/net/ip6tnl0,/sys/devices/virtual/net/ip6tnl0
/sys/class/pci_bus/0000:00,/sys/devices/pci0000:00/pci_bus/0000:00,/sys/class/pci_bus/0000:00,/sys/devices/pci0000:00/pci_bus/0000:00
/sys/class/ata_port/ata1,/sys/devices/pci0000:00/0000:00:02.0/ata1/ata_port/ata1,/sys/class/ata_port/ata1,/sys/devices/pci0000:00/0000:00:02.0/ata1/ata_port/ata1
/sys/class/ata_port/ata19,/sys/devices/pci0000:00/0000:00:06.0/ata19/ata_port/ata19,/sys/class/ata_port/ata19,/sys/devices/pci0000:00/0000:00:06.0/ata19/ata_port/ata19
/sys/class/ata_port/ata17,/sys/devices/pci0000:00/0000:00:05.0/ata17/ata_port/ata17,/sys/class/ata_port/ata17,/sys/devices/pci0000:00/0000:00:05.0/ata17/ata_port/ata17
/sys/class/ata_port/ata8,/sys/devices/pci0000:00/0000:00:04.0/ata8/ata_port/ata8,/sys/class/ata_port/ata8,/sys/devices/pci0000:00/0000:00:04.0/ata8/ata_port/ata8
/sys/class/ata_port/ata15,/sys/devices/pci0000:00/0000:00:05.0/ata15/ata_port/ata15,/sys/class/ata_port/ata15,/sys/devices/pci0000:00/0000:00:05.0/ata15/ata_port/ata15
/sys/class/ata_port/ata6,/sys/devices/pci0000:00/0000:00:02.0/ata6/ata_port/ata6,/sys/class/ata_port/ata6,/sys/devices/pci0000:00/0000:00:02.0/ata6/ata_port/ata6
/sys/class/ata_port/ata23,/sys/devices/pci0000:00/0000:00:06.0/ata23/ata_port/ata23,/sys/class/ata_port/ata23,/sys/devices/pci0000:00/0000:00:06.0/ata23/ata_port/ata23
/sys/class/ata_port/ata13,/sys/devices/pci0000:00/0000:00:05.0/ata13/ata_port/ata13,/sys/class/ata_port/ata13,/sys/devices/pci0000:00/0000:00:05.0/ata13/ata_port/ata13
/sys/class/ata_port/ata4,/sys/devices/pci0000:00/0000:00:02.0/ata4/ata_port/ata4,/sys/class/ata_port/ata4,/sys/devices/pci0000:00/0000:00:02.0/ata4/ata_port/ata4
/sys/class/ata_port/ata21,/sys/devices/pci0000:00/0000:00:06.0/ata21/ata_port/ata21,/sys/class/ata_port/ata21,/sys/devices/pci0000:00/0000:00:06.0/ata21/ata_port/ata21
/sys/class/ata_port/ata11,/sys/devices/pci0000:00/0000:00:04.0/ata11/ata_port/ata11,/sys/class/ata_port/ata11,/sys/devices/pci0000:00/0000:00:04.0/ata11/ata_port/ata11
/sys/class/ata_port/ata2,/sys/devices/pci0000:00/0000:00:02.0/ata2/ata_port/ata2,/sys/class/ata_port/ata2,/sys/devices/pci0000:00/0000:00:02.0/ata2/ata_port/ata2
/sys/class/ata_port/ata18,/sys/devices/pci0000:00/0000:00:05.0/ata18/ata_port/ata18,/sys/class/ata_port/ata18,/sys/devices/pci0000:00/0000:00:05.0/ata18/ata_port/ata18
/sys/class/ata_port/ata9,/sys/devices/pci0000:00/0000:00:04.0/ata9/ata_port/ata9,/sys/class/ata_port/ata9,/sys/devices/pci0000:00/0000:00:04.0/ata9/ata_port/ata9
/sys/class/ata_port/ata16,/sys/devices/pci0000:00/0000:00:05.0/ata16/ata_port/ata16,/sys/class/ata_port/ata16,/sys/devices/pci0000:00/0000:00:05.0/ata16/ata_port/ata16
/sys/class/ata_port/ata7,/sys/devices/pci0000:00/0000:00:04.0/ata7/ata_port/ata7,/sys/class/ata_port/ata7,/sys/devices/pci0000:00/0000:00:04.0/ata7/ata_port/ata7
/sys/class/ata_port/ata24,/sys/devices/pci0000:00/0000:00:06.0/ata24/ata_port/ata24,/sys/class/ata_port/ata24,/sys/devices/pci0000:00/0000:00:06.0/ata24/ata_port/ata24
/sys/class/ata_port/ata14,/sys/devices/pci0000:00/0000:00:05.0/ata14/ata_port/ata14,/sys/class/ata_port/ata14,/sys/devices/pci0000:00/0000:00:05.0/ata14/ata_port/ata14
/sys/class/ata_port/ata5,/sys/devices/pci0000:00/0000:00:02.0/ata5/ata_port/ata5,/sys/class/ata_port/ata5,/sys/devices/pci0000:00/0000:00:02.0/ata5/ata_port/ata5
/sys/class/ata_port/ata22,/sys/devices/pci0000:00/0000:00:06.0/ata22/ata_port/ata22,/sys/class/ata_port/ata22,/sys/devices/pci0000:00/0000:00:06.0/ata22/ata_port/ata22
/sys/class/ata_port/ata12,/sys/devices/pci0000:00/0000:00:04.0/ata12/ata_port/ata12,/sys/class/ata_port/ata12,/sys/devices/pci0000:00/0000:00:04.0/ata12/ata_port/ata12
/sys/class/ata_port/ata3,/sys/devices/pci0000:00/0000:00:02.0/ata3/ata_port/ata3,/sys/class/ata_port/ata3,/sys/devices/pci0000:00/0000:00:02.0/ata3/ata_port/ata3
/sys/class/ata_port/ata20,/sys/devices/pci0000:00/0000:00:06.0/ata20/ata_port/ata20,/sys/class/ata_port/ata20,/sys/devices/pci0000:00/0000:00:06.0/ata20/ata_port/ata20
/sys/class/ata_port/ata10,/sys/devices/pci0000:00/0000:00:04.0/ata10/ata_port/ata10,/sys/class/ata_port/ata10,/sys/devices/pci0000:00/0000:00:04.0/ata10/ata_port/ata10
/sys/class/scsi_disk/0:0:0:0,/sys/devices/pci0000:00/0000:00:02.0/ata1/host0/target0:0:0/0:0:0:0/scsi_disk/0:0:0:0,/sys/class/scsi_disk/0:0:0:0,/sys/devices/pci0000:00/0000:00:02.0/ata1/host0/target0:0:0/0:0:0:0/scsi_disk/0:0:0:0
/sys/class/tty/tty28,/sys/devices/virtual/tty/tty28,/sys/class/tty/tty28,/sys/devices/virtual/tty/tty28
/sys/class/tty/ptmx,/sys/devices/virtual/tty/ptmx,/sys/class/tty/ptmx,/sys/devices/virtual/tty/ptmx
/sys/class/tty/tty56,/sys/devices/virtual/tty/tty56,/sys/class/tty/tty56,/sys/devices/virtual/tty/tty56
/sys/class/tty/tty18,/sys/devices/virtual/tty/tty18,/sys/class/tty/tty18,/sys/devices/virtual/tty/tty18
/sys/class/tty/tty1,/sys/devices/virtual/tty/tty1,/sys/class/tty/tty1,/sys/devices/virtual/tty/tty1
/sys/class/tty/tty46,/sys/devices/virtual/tty/tty46,/sys/class/tty/tty46,/sys/devices/virtual/tty/tty46
/sys/class/tty/tty36,/sys/devices/virtual/tty/tty36,/sys/class/tty/tty36,/sys/devices/virtual/tty/tty36
/sys/class/tty/tty26,/sys/devices/virtual/tty/tty26,/sys/class/tty/tty26,/sys/devices/virtual/tty/tty26
/sys/class/tty/tty54,/sys/devices/virtual/tty/tty54,/sys/class/tty/tty54,/sys/devices/virtual/tty/tty54
/sys/class/tty/tty16,/sys/devices/virtual/tty/tty16,/sys/class/tty/tty16,/sys/devices/virtual/tty/tty16
/sys/class/tty/tty44,/sys/devices/virtual/tty/tty44,/sys/class/tty/tty44,/sys/devices/virtual/tty/tty44
/sys/class/tty/console,/sys/devices/virtual/tty/console,/sys/class/tty/console,/sys/devices/virtual/tty/console
/sys/class/tty/tty34,/sys/devices/virtual/tty/tty34,/sys/class/tty/tty34,/sys/devices/virtual/tty/tty34
