fid,inode,dev,ftype,op,gp,tp,numoflinks,uid,size,ctime,mtime,name,abspath
2834,3148131,112,-,6,4,4,1,0,946,1581368668.5340807,1573123442.0,utf_7.py,/usr/lib/python3.6/encodings/utf_7.py
2835,3148049,112,-,6,4,4,1,0,33370,1581368668.5180807,1573123442.0,cp862.py,/usr/lib/python3.6/encodings/cp862.py
2836,3148057,112,-,6,4,4,1,0,1023,1581368668.5210807,1573123442.0,cp932.py,/usr/lib/python3.6/encodings/cp932.py
2837,3148117,112,-,7,5,5,1,0,2428,1581368668.532081,1573123442.0,rot_13.py,/usr/lib/python3.6/encodings/rot_13.py
2838,3148115,112,-,6,4,4,1,0,1525,1581368668.532081,1573123442.0,quopri_codec.py,/usr/lib/python3.6/encodings/quopri_codec.py
2839,3148036,112,-,6,4,4,1,0,13121,1581368668.5140808,1573123442.0,cp500.py,/usr/lib/python3.6/encodings/cp500.py
2840,3148095,112,-,6,4,4,1,0,13193,1581368668.5260808,1573123442.0,koi8_t.py,/usr/lib/python3.6/encodings/koi8_t.py
2841,3148090,112,-,6,4,4,1,0,12844,1581368668.525081,1573123442.0,iso8859_7.py,/usr/lib/python3.6/encodings/iso8859_7.py
2842,3148062,112,-,6,4,4,1,0,1027,1581368668.522081,1573123442.0,euc_jp.py,/usr/lib/python3.6/encodings/euc_jp.py
2843,3148082,112,-,6,4,4,1,0,13652,1581368668.5240808,1573123442.0,iso8859_14.py,/usr/lib/python3.6/encodings/iso8859_14.py
2844,3148054,112,-,6,4,4,1,0,32965,1581368668.5200808,1573123442.0,cp869.py,/usr/lib/python3.6/encodings/cp869.py
2845,3148035,112,-,6,4,4,1,0,34564,1581368668.5140808,1573123442.0,cp437.py,/usr/lib/python3.6/encodings/cp437.py
2846,3148087,112,-,6,4,4,1,0,13376,1581368668.525081,1573123442.0,iso8859_4.py,/usr/lib/python3.6/encodings/iso8859_4.py
2847,3148113,112,-,6,4,4,1,0,14015,1581368668.532081,1573123442.0,ptcp154.py,/usr/lib/python3.6/encodings/ptcp154.py
2848,3148048,112,-,6,4,4,1,0,34633,1581368668.5180807,1573123442.0,cp861.py,/usr/lib/python3.6/encodings/cp861.py
2849,3148037,112,-,6,4,4,1,0,1106,1581368668.5140808,1573123442.0,cp65001.py,/usr/lib/python3.6/encodings/cp65001.py
2850,3148060,112,-,6,4,4,1,0,1051,1581368668.5210807,1573123442.0,euc_jis_2004.py,/usr/lib/python3.6/encodings/euc_jis_2004.py
2851,3148106,112,-,6,4,4,1,0,14118,1581368668.5300808,1573123442.0,mac_latin2.py,/usr/lib/python3.6/encodings/mac_latin2.py
2852,3148078,112,-,6,4,4,1,0,13176,1581368668.5230808,1573123442.0,iso8859_1.py,/usr/lib/python3.6/encodings/iso8859_1.py
2853,3148012,112,-,6,4,4,1,0,15577,1581368668.5100808,1573123442.0,aliases.py,/usr/lib/python3.6/encodings/aliases.py
2854,3148103,112,-,6,4,4,1,0,15170,1581368668.5300808,1573123442.0,mac_farsi.py,/usr/lib/python3.6/encodings/mac_farsi.py
2855,3148085,112,-,6,4,4,1,0,13404,1581368668.5240808,1573123442.0,iso8859_2.py,/usr/lib/python3.6/encodings/iso8859_2.py
2856,3148022,112,-,6,4,4,1,0,34597,1581368668.5100808,1573123442.0,cp1125.py,/usr/lib/python3.6/encodings/cp1125.py
2857,3148123,112,-,6,4,4,1,0,1184,1581368668.5330808,1573123442.0,unicode_escape.py,/usr/lib/python3.6/encodings/unicode_escape.py
2858,3148029,112,-,6,4,4,1,0,12466,1581368668.512081,1573123442.0,cp1255.py,/usr/lib/python3.6/encodings/cp1255.py
